Australian Central Daylight Time,ACDT,Australia/Adelaide
Australian Central Standard Time,ACST,Australia/Darwin
Acre Time,ACT,America/Rio_Branco
Atlantic Daylight Time,ADT,America/Halifax
Australian Eastern Daylight Time,AEDT,Australia/Sydney
Australian Eastern Standard Time,AEST,Australia/Brisbane
Australian Eastern Standard Time,AEST,Australia/Sydney
Afghanistan Time,AFT,Asia/Kabul
Alaska Daylight Time,AKDT,America/Anchorage
Alaska Standard Time,AKST,America/Juneau
Alma-Ata Time,ALMT,Asia/Almaty
Amazon Time (Brazil),AMT,America/Manaus
Armenia Time,AMT,Asia/Yerevan
Anadyr Time,ANAT,Asia/Anadyr
Aqtobe Time,AQTT,Asia/Aqtobe
Argentina Time,ART,America/Argentina/Buenos_Aires
Arabia Standard Time,AST,Asia/Riyadh
Atlantic Standard Time,AST,America/Puerto_Rico
Australian Western Standard Time,AWST,Australia/Perth
Azores Standard Time,AZOT,Atlantic/Azores
Azerbaijan Time,AZT,Asia/Baku
Brunei Time,BNT,Asia/Brunei
British Indian Ocean Time,BIOT,Indian/Chagos
Baker Island Time,BIT,Pacific/Baker
Bolivia Time,BOT,America/La_Paz
Brasília Time,BRT,America/Sao_Paulo
Bangladesh Standard Time,BST,Asia/Dhaka
Bougainville Standard Time,BST,Pacific/Bougainville
Greenwich Mean Time,GMT,Europe/London
Bhutan Time,BTT,Asia/Thimphu
West Africa Time,WAT,Africa/Kinshasa
Cocos Islands Time,CXT,Indian/Cocos
Central Daylight Time (North America),CDT,America/Chicago
Cuba Daylight Time,CDT,America/Havana
Central European Summer Time,CEST,Europe/Berlin
Central European Time,CET,Europe/Brussels
Chatham Daylight Time,CHADT,Pacific/Chatham
Chatham Standard Time,CHAST,Pacific/Chatham
Choibalsan Standard Time,CHOT,Asia/Choibalsan
Choibalsan Summer Time,CHOST,Asia/Choibalsan
Chamorro Standard Time,ChST,Pacific/Guam
Chuuk Time,CHUT,Pacific/Chuuk
Clipperton Island Standard Time,CLT,Pacific/Clipperton
Cook Island Time,CKT,Pacific/Rarotonga
Chile Summer Time,CLST,America/Santiago
Chile Standard Time,CLT,America/Santiago
Colombia Summer Time,COT,America/Bogota
Colombia Time,COT,America/Bogota
Central Standard Time (North America),CST,America/Chicago
China Standard Time,CST,Asia/Shanghai
Cuba Standard Time,CST,America/Havana
Central Time,CST,America/Chicago
Cape Verde Time,CVT,Atlantic/Cape_Verde
Christmas Island Time,CXT,Indian/Christmas
Davis Time,DAVT,Antarctica/Davis
Dumont d'Urville Time,DDUT,Antarctica/DumontDUrville
Easter Island Summer Time,EASST,Pacific/Easter
Easter Island Standard Time,EAST,Pacific/Easter
East Africa Time,EAT,Africa/Nairobi
Eastern Caribbean Time,ECT,America/Barbados
Ecuador Time,ECT,America/Guayaquil
Eastern Daylight Time (North America),EDT,America/New_York
Eastern European Summer Time,EEST,Europe/Athens
Eastern European Time,EET,Europe/Bucharest
Eastern Greenland Summer Time,EGST,America/Scoresbysund
Eastern Greenland Time,EGT,America/Scoresbysund
Eastern Standard Time (North America),EST,America/New_York
Eastern Time (North America),ET,America/New_York
Kaliningrad Time,FET,Europe/Kaliningrad
Fiji Time,FJT,Pacific/Suva
Falkland Islands Summer Time,FKST,Atlantic/Stanley
Falkland Islands Time,FKT,Atlantic/Stanley
Fernando de Noronha Time,FNT,America/Noronha
Galápagos Time,GALT,Pacific/Galapagos
Gambier Islands Time,GAMT,Pacific/Gambier
Georgia Standard Time,GET,Asia/Tbilisi
French Guiana Time,GFT,America/Cayenne
Gilbert Island Time,GILT,Pacific/Tarawa
Gambier Island Time,GILT,Pacific/Mangareva
South Georgia and the South Sandwich Islands Time,GST,Atlantic/South_Georgia
Gulf Standard Time,GST,Asia/Dubai
Guyana Time,GYT,America/Guyana
Hawaii–Aleutian Daylight Time,HADT,America/Adak
Central European Summer Time,HAC,Europe/Paris
Hawaii–Aleutian Standard Time,HAST,Pacific/Honolulu
